-372, 1029, 1998
-328, 837, 1998
-199, 730, 1998
-29, 711, 1998
171, 876, 1998
-,-,-
497, 1156, -1933
1021, 1657, -1300
1402, 1195, 1160
761, 953, 55
646, 1860, -1965
1208, 1997, -193
1404, 1937, 1998
911, 1079, 1998
665, 1428, 1989
450, 1750, 1847
450, 1750, 1847
500, 1306, 1998
-,-,-
215, 780, -1949
791, 1109, -1997
1198, 1852, -1981
1891, 1908, 533
1702, 1908, 1998
1702, 432, 1998
835, 359, -145
162, 1678, -1968
834, 1997, -646
1299, 1936, 1900
-83, 955, 1998
-819, 1597, 1975
72, 1890, 1301
436, 1107, 1998
86, 369, 1998
-301, 241, 1998
-,-,-
296, 790, -1953
675, 1595, -1936
1335, 1875, 325
841, 656, 1957
841, 656, 1957
321, 845, -1053
325, 1930, -1675
810, 1997, 415
1244, 1770, 1998
596, 952, 1998
-118, 1809, 1717
-404, 1823, 1671
-136, 1084, 1998
213, 446, 1998
-,-,-
-412, 1259, 1998
-358, 1236, 1832
188, 932, 1998
116, 1147, 1998
-126, 1590, 1998
-,-,-
484, 427, -1997
606, 843, -1822
647, 1132, -506
453, 855, 548
703, 1143, -1013
1092, 1872, -177
870, 1550, 1918
548, 925, 1998
265, 1254, 1560
348, 1536, 1289
348, 1536, 1812
-,-,-
257, -184, -1628
582, 181, -1989
906, 505, -1293
906, 505, -1293
797, 441, 301
787, 410, -155
874, 1210, -1489
1186, 1988, -686
1127, 1955, 1464
70, 1083, 1998
-226, 1222, 1844
300, 1722, 752
355, 1529, 1668
349, 1000, 1998
-,-,-
188, -7, -1667
107, 61, -1442
-46, 226, -1652
144, 472, -1729
144, 472, -1729
1079, 819, -1593
1327, 1379, -883
1115, 1265, 1118
389, 693, 1797
650, 1416, -661
873, 1997, -652
1134, 1997, 1303
-,-,-
121, 121, -1919
-230, 655, -1997
49, 1017, -1882
49, 1017, -1882
748, 1032, -1294
779, 1145, -981
871, 1695, -922
1028, 1982, 585
1001, 1918, 1831
849, 1789, 1996
634, 1775, 1998
377, 1629, 1998
-,-,-
-10, 467, -1997
90, 783, -1955
789, 1369, -1991
1261, 1855, -1105
847, 1605, 1410
95, 1264, 1125
631, 1953, -1534
1416, 1997, 513
1288, 1988, 1998
555, 1288, 1998
244, 1659, 1930
721, 1790, 1497
857, 1148, 1998
552, 466, 1998
552, 466, 1998
-,-,-
-72, 1227, 1020
274, 737, 1681
-,-,-
245, 388, -1997
293, 732, -1923
671, 1075, -1964
1110, 1312, -874
1018, 1326, 740
412, 652, 1559
471, 1225, -921
1011, 1970, -538
1082, 1979, 1726
441, 958, 1998
184, 716, 1998
-218, 1215, 1850
-,-,-
59, 535, -1997
-7, 731, -1972
139, 1197, -1997
826, 1595, -1981
1692, 1729, -964
1418, 1615, 641
740, 934, 1895
752, 1065, 164
1005, 1908, -715
1115, 1997, 1265
-,-,-
216, -292, -1966
-281, 166, -1805
-403, 224, -1128
507, 241, -1627
1185, 646, -1997
836, 1577, -1153
874, 1196, 1822
786, 828, 1571
373, 1660, 6
373, 1660, 6
604, 1997, 918
821, 1416, 1998
284, 656, 1998
-199, 1220, 1998
76, 1286, 1998
-,-,-
13, -143, -1997
-43, 26, -1990
8, 137, -1997
-11, 317, -1996
394, 595, -1997
895, 1239, -1952
811, 1758, -265
1226, 1529, 755
1226, 1529, 755
1165, 1836, 173
817, 1997, 1619
686, 1997, 1998
624, 1987, 1998
500, 1669, 1998
281, 1330, 1998
316, 1199, 1998
265, 939, 1998
41, 717, 1998
-,-,-
93, 61, -1952
93, 61, -1952
82, 362, -1997
527, 592, -1997
863, 956, -1859
567, 1577, -1159
626, 1962, -78
662, 1983, 753
1000, 1984, 1324
973, 1711, 1998
973, 1711, 1998
590, 1736, 1998
-,-,-
347, -105, -1989
560, 66, -1982
594, 280, -1997
684, 589, -1908
989, 1000, -1437
1123, 1170, 106
810, 1245, 1035
260, 1474, 1165
260, 1474, 1165
195, 1875, 1135
390, 1856, 1976
547, 1980, 1983
-,-,-
488, -125, -1962
419, 107, -1997
254, 478, -1997
254, 478, -1997
681, 894, -1959
1254, 1130, -1000
1304, 1517, -503
1231, 1940, 373
777, 1975, 1795
409, 1983, 1865
209, 1997, 1793
292, 1997, 1971
512, 1857, 1998
-,-,-
204, 437, -1997
70, 698, -1984
470, 1163, -1997
1493, 1537, -1072
1389, 984, 1676
634, 532, 1246
497, 1383, -1311
573, 1997, -516
864, 1997, 1803
656, 1296, 1998
89, 1203, 1998
-306, 1737, 1898
-306, 1737, 1898
-,-,-
169, 157, -1997
239, 494, -1963
642, 857, -1997
1290, 1123, -1335
1244, 1441, -444
1056, 1579, 687
480, 1273, 1983
9, 1663, 1084
537, 1997, 903
-,-,-
63, -117, -1991
245, -65, -1997
382, 71, -1997
588, 303, -1997
774, 595, -1988
540, 587, -711
540, 587, -711
255, 668, -614
648, 1475, -1957
770, 1997, -1130
655, 1972, 1927
338, 1107, 1998
0, 1387, 1998
-65, 1740, 1998
455, 1125, 1998
258, 358, 1998
258, 358, 1998
-,-,-
337, 224, -1997
197, 500, -1982
202, 818, -1997
1051, 1256, -1997
1889, 1608, -710
1186, 1248, 1888
441, 850, 1979
508, 1248, 219
501, 1972, 348
668, 1997, 1846
-,-,-
445, 725, -1973
928, 1100, -1997
1518, 1883, -1515
1266, 1916, 1490
770, 1172, 1998
721, 1350, 932
721, 1350, 932
679, 1963, 442
-,-,-
689, 1764, -1859
1230, 1993, -198
1626, 1764, 1754
581, 824, 1998
108, 945, 651
347, 1619, 973
347, 1619, 973
377, 1931, 1902
628, 901, 1998
-,-,-
604, 921, -1997
533, 1546, -1997
1078, 1996, -1997
1970, 1997, 132
1638, 1702, 1998
1068, 1023, 1757
909, 1286, 1689
346, 1645, 1998
346, 1645, 1998
443, 1756, 1970
-,-,-
389, 200, -1996
372, 463, -1997
136, 1064, -1997
767, 1817, -1997
1713, 1984, -442
1254, 1577, 1924
639, 1579, 1093
561, 1993, 472
561, 1993, 472
691, 1997, 1686
691, 1920, 1998
-,-,-
-265, -238, -1964
-46, -168, -1997
118, -110, -1997
8, 200, -1997
280, 476, -1891
703, 502, -1324
844, 610, -967
844, 610, -967
1143, 793, -646
1186, 1347, -175
860, 1692, 1194
586, 1557, 1998
527, 1485, 1998
174, 1639, 1998
-,-,-
-103, -65, -1989
76, 158, -1997
-115, 587, -1997
-85, 1133, -1997
1035, 1280, -1256
1367, 850, 875
1367, 850, 875
744, 1007, 656
620, 1865, -233
882, 1995, 1678
300, 1411, 1998
231, 890, 1998
50, 898, 1998
212, 627, 1998
-,-,-
830, 560, -1997
871, 1069, -1997
1079, 1794, -1997
1904, 1997, -491
1620, 1485, 1998
682, 940, 1499
682, 940, 1499
645, 1501, 195
683, 1997, 1035
340, 1716, 1998
194, 699, 1998
-137, 833, 1998
-459, 808, 1998
-384, 567, 1998
-,-,-
-37, -208, -1966
348, -75, -1959
751, 48, -1997
985, 353, -1997
1193, 996, -1997
1301, 1365, -1025
988, 1647, -527
1145, 1983, -614
1268, 1997, 1298
577, 1997, 1998
228, 1780, 1998
56, 1821, 1998
395, 1418, 1998
433, 900, 1998
433, 900, 1998
69, 540, 1998
-,-,-
-79, 557, -1980
183, 982, -1997
1118, 1473, -1153
1401, 998, 1551
641, 730, 1624
430, 1073, -919
430, 1073, -919
903, 1939, -938
-,-,-
348, -9, -1984
-55, 307, -1997
22, 715, -1997
22, 715, -1997
983, 1091, -1531
1309, 1320, 156
943, 1226, 1001
865, 1417, 702
452, 1685, 1635
18, 1928, 1915
818, 1581, 1998
620, 1090, 1998
105, 1097, 1998
174, 718, 1998
174, 718, 1998
-,-,-
381, -161, -1964
481, 15, -1997
481, 15, -1997
513, 482, -1997
750, 849, -699
581, 639, 1200
667, 606, 1
866, 1180, -524
317, 1906, 707
317, 1906, 707
378, 1645, 1994
309, 819, 1998
-68, 756, 1998
-128, 622, 1998
-,-,-
49, 187, -1997
209, 607, -1981
602, 1111, -1918
912, 1535, -303
929, 1094, 1746
779, 644, 1533
523, 1163, 231
473, 1737, 1104
768, 1552, 1956
768, 1552, 1956
523, 816, 1998
130, 745, 1998
-,-,-
112, 539, -1997
112, 539, -1997
88, 737, -1997
585, 1219, -1997
1517, 1599, -1355
1672, 1204, 1198
1116, 475, 1446
828, 925, -266
690, 1771, -211
902, 1997, 892
853, 1746, 1998
215, 750, 1998
-201, 1363, 1998
-,-,-
142, 139, -1588
-499, 6, -1997
-556, 122, -1997
-189, 413, -1997
225, 812, -1997
1039, 990, -1820
1419, 730, 264
808, 676, 416
578, 1117, -128
461, 1602, 593
461, 1602, 593
457, 1709, 1752
461, 1248, 1998
149, 820, 1998
49, 715, 1998
56, 486, 1998
-,-,-
99, -63, -1997
48, 76, -1997
61, 203, -1997
119, 387, -1997
572, 829, -1997
1198, 1310, -1431
1438, 1174, 1149
1089, 295, 1998
522, 329, 394
522, 329, 394
488, 1297, -1182
412, 1997, 685
159, 1195, 1998
148, 553, 1998
232, 820, 1998
-146, 782, 1998
-,-,-
933, 295, -1996
932, 865, -1997
878, 1718, -1602
1113, 1482, 1092
1235, 636, 1856
634, 836, 654
634, 836, 654
310, 1518, 605
449, 1968, 1186
673, 1442, 1996
-1, 902, 1998
-287, 1073, 1998
-23, 823, 1998
158, 441, 1998
-,-,-
180, 347, -1950
362, 716, -1997
362, 716, -1997
824, 1644, -1997
1452, 1993, -1120
1748, 1554, 1212
1334, 1174, 724
541, 1866, -904
930, 1997, 878
1170, 1771, 1998
905, 1381, 1998
270, 1535, 1998
-5, 1557, 1998
-,-,-
-70, 459, -1949
-105, 596, -1654
-105, 596, -1654
158, 867, -1997
389, 1002, -1997
232, 1521, -1997
1125, 1994, -1876
1736, 1996, 148
1610, 1701, 821
1303, 1949, 74
1090, 1997, 781
1015, 1997, 1705
995, 1664, 1998
386, 1265, 1998
-,-,-
721, 453, -1997
211, 580, -1997
-269, 743, -1997
-137, 946, -1997
524, 1072, -1997
894, 1321, -1959
1378, 1804, -1158
1539, 1785, 1506
305, 1223, 1907
107, 1689, 294
600, 1997, 176
914, 1980, 1786
942, 1169, 1998
942, 1169, 1998
-382, 1557, 1998
-681, 1726, 1998
0, 858, 1998
-,-,-
-27, 611, -1992
331, 962, -1997
948, 1728, -1997
1907, 1997, -520
1764, 1360, 1998
525, 474, 1942
525, 474, 1942
148, 997, 187
257, 1606, 762
109, 1966, 1928
1355, 850, 1998
831, 353, 1998
-56, 998, 1998
593, 595, 1959
593, 595, 1959
-,-,-
998, 1021, -1994
998, 1021, -1994
1339, 1752, -1997
1951, 1997, -748
1786, 1964, 1597
215, 1144, 1998
-47, 1187, 1096
487, 1887, 546
861, 1968, 1822
551, 874, 1998
-782, 888, 1998
-1049, 1240, 1998
-,-,-
411, -233, -1997
324, -194, -1996
295, 24, -1997
275, 542, -1997
482, 999, -1912
588, 1240, -758
771, 1657, -725
1153, 1993, 702
552, 1635, 1998
-105, 1434, 1998
40, 1387, 1998
109, 1477, 1998
109, 1477, 1998
108, 986, 1998
-126, 554, 1998
-288, 566, 1998
-77, 751, 1992
-,-,-
212, 260, -1997
69, 588, -1997
237, 1248, -1997
865, 1965, -1997
1903, 1997, -987
1889, 1764, 1945
677, 1260, 1606
677, 1260, 1606
-87, 1886, 1079
-142, 1997, 1944
1225, 1724, 1998
1277, 641, 1998
89, 1046, 1998
-401, 1268, 1998
141, 801, 1998
-,-,-
534, 1019, -1997
865, 1831, -1996
1733, 1997, -551
1735, 1712, 1986
786, 1025, 1631
-248, 1886, -318
226, 1997, 1648
1229, 1441, 1998
804, 663, 1998
-544, 1289, 1998
-464, 1260, 1998
438, 590, 1998
898, 475, 1998
1009, 646, 1998
-,-,-
263, 419, -1986
489, 858, -1997
1004, 1775, -1997
1836, 1997, -932
1810, 1723, 1950
998, 967, 1704
998, 967, 1704
131, 1875, -690
337, 1997, 1102
942, 1988, 1998
762, 1272, 1998
-349, 1522, 1998
-468, 1702, 1998
149, 1072, 1998
-,-,-
41, 771, -1997
16, 1269, -1997
669, 1927, -1997
1890, 1997, -879
1997, 1948, 1827
1198, 1268, 1978
342, 1690, 770
302, 1997, 1168
1125, 1960, 1998
1241, 853, 1998
-50, 1288, 1998
-350, 1485, 1998
103, 1014, 1998
416, 761, 1998
-,-,-
-114, 197, -1980
-114, 197, -1980
-143, 651, -1997
289, 1314, -1997
744, 1759, -1545
1330, 1640, -19
1352, 1857, -1054
1823, 1997, -1237
1586, 1997, 1905
789, 1732, 1998
-123, 1813, 1998
194, 1997, 1634
1167, 1776, 1998
-,-,-
351, 325, -1991
15, 568, -1997
-2, 799, -1997
